date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:51	104836/104836	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2014:03:40%20GMT	https://connectusainc.com/	C:/Users/Logan/Desktop/Connect/connectusainc.com/index.html	(from )
20:17:51	169/169	---M-Z	200	added ('OK')	text/plain	date:Wed,%2006%20Dec%202023%2001:17:51%20GMT	https://connectusainc.com/robots.txt		(from )
20:17:57	571788/571788	---MCZ	200	added ('OK')	text/css	etag:%224884113-8b98c-6047c7d8a5c0f-gzip%22	https://connectusainc.com/wp-content/cache/wpo-minify/1693782166/assets/wpo-minify-header-6e1e87d3.min.css	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-content/cache/wpo-minify/1693782166/assets/wpo-minify-header-6e1e87d3.min.css	(from https://connectusainc.com/)
20:17:58	101897/101897	---M-Z	200	added ('OK')	application/javascript	etag:%224883edd-18e09-6047c677177da-gzip%22	https://connectusainc.com/wp-content/cache/wpo-minify/1693782166/assets/wpo-minify-header-e8f418c5.min.js	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-content/cache/wpo-minify/1693782166/assets/wpo-minify-header-e8f418c5.min.js	(from https://connectusainc.com/)
20:17:58	1092/1092	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2005%20Dec%202023%2014:04:48%20GMT	https://connectusainc.com/feed/	C:/Users/Logan/Desktop/Connect/connectusainc.com/feed/index.html	(from https://connectusainc.com/)
20:18:01	41453/41453	---MC-	200	added ('OK')	application/json	date:Wed,%2006%20Dec%202023%2001:17:57%20GMT	https://connectusainc.com/wp-json/wp/v2/pages/2274	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-json/wp/v2/pages/2274.json	(from https://connectusainc.com/)
20:18:04	769/769	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2005%20Dec%202023%2014:28:56%20GMT	https://connectusainc.com/comments/feed/	C:/Users/Logan/Desktop/Connect/connectusainc.com/comments/feed/index.html	(from https://connectusainc.com/)
20:18:04	817/817	---M-Z	200	added ('OK')	text/xml	date:Wed,%2006%20Dec%202023%2001:17:59%20GMT	https://connectusainc.com/xmlrpc.php?rsd	C:/Users/Logan/Desktop/Connect/connectusainc.com/xmlrpc0db0.php	(from https://connectusainc.com/)
20:18:09	208843/208843	---M--	200	added ('OK')	image/png	etag:%224765941-32fcb-5d98021489740%22	http://connectusainc.com/wp-content/uploads/2020/02/image1-home1.png	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-content/uploads/2020/02/image1-home1.png	(from https://connectusainc.com/)
20:18:09	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%2247c260b-415-4ed4785da9bc0-gzip%22	https://connectusainc.com/wp-includes/wlwmanifest.xml	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-includes/wlwmanifest.xml	(from https://connectusainc.com/)
20:18:10	181286/181286	---MC-	200	added ('OK')	application/json	date:Wed,%2006%20Dec%202023%2001:18:01%20GMT	https://connectusainc.com/wp-json/	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-json/index.html	(from https://connectusainc.com/)
20:18:10	2602/2602	---MC-	200	added ('OK')	application/json	date:Wed,%2006%20Dec%202023%2001:18:10%20GMT	https://connectusainc.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconnectusainc.com%2F	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-json/oembed/1.0/embed1b66.json	(from https://connectusainc.com/)
20:18:11	2685/2685	---M-Z	200	added ('OK')	text/xml	date:Wed,%2006%20Dec%202023%2001:18:10%20GMT	https://connectusainc.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconnectusainc.com%2F&format=xml	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-json/oembed/1.0/embed8b5c	(from https://connectusainc.com/)
20:18:11	2285/2285	---M--	200	added ('OK')	image/png	etag:%22476185e-8ed-5d98030e664c0%22	https://connectusainc.com/wp-content/uploads/2021/04/pricing-b-1-80x80.png	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-content/uploads/2021/04/pricing-b-1-80x80.png	(from https://connectusainc.com/)
20:18:11	12536/12536	---M--	200	added ('OK')	image/png	etag:%224762756-30f8-5d98030f5a700%22	https://connectusainc.com/wp-content/uploads/2021/04/pricing-b-1.png	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-content/uploads/2021/04/pricing-b-1.png	(from https://connectusainc.com/)
20:18:11	13468/13468	---M--	200	added ('OK')	font/woff	etag:%2247e27a4-349c-5df09bf3255c0%22	https://connectusainc.com/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu72xMKTU1Kvnz.woff	C:/Users/Logan/Desktop/Connect/connectusainc.com/wp-content/fonts/roboto/KFOmCnqEu92Fr1Mu72xMKTU1Kvnz.woff	(from https://connectusainc.com/)
